se-name,  Kxx,  Kyy,  Kzz,  Omegaxx,  Omegayy,  Omegazz,  PIxx,  PIyy,  PIzz,  lam1,  lam2,  e1,  e2,  nelems,  nnodes,  time, 
se419, 5.0216, 5.0216, 4.518, 5.3103, 5.3103, 3.0787, -2.7256, 2.7256, 0.0,  0.6,  0.6,  0.4,  1.2,  2814,  1791,  48.0, 
se420, 4.9295, 4.9296, 4.4012, 5.0668, 5.0673, 2.8547, -2.7228, 2.723, 0.003,  0.6,  0.6,  0.4,  1.4,  2846,  1779,  49.0, 
se421, 4.8428, 4.8428, 4.2875, 4.8432, 4.8433, 2.6606, -2.7167, 2.7166, -0.0003,  0.6,  0.6,  0.4,  1.6,  2670,  1667,  41.0, 
se422, 4.7682, 4.7682, 4.1823, 4.6466, 4.6466, 2.5144, -2.7062, 2.7064, -0.003,  0.6,  0.6,  0.4,  1.8,  2622,  1619,  38.0, 
se423, 5.3313, 5.3313, 4.8963, 5.8647, 5.8647, 4.3937, -2.2418, 2.2418, 0.0001,  0.6,  0.6,  0.6,  0.2,  2726,  1927,  48.0, 
se424, 5.232, 5.232, 4.7985, 5.6188, 5.6188, 4.002, -2.2744, 2.2737, 0.012,  0.6,  0.6,  0.6,  0.4,  2694,  1883,  46.0, 
se425, 5.1263, 5.1263, 4.6856, 5.3564, 5.3564, 3.6303, -2.307, 2.3076, 0.0,  0.6,  0.6,  0.6,  0.6,  2838,  1879,  49.0, 
se426, 5.0214, 5.0214, 4.5669, 5.096, 5.096, 3.3021, -2.3324, 2.3319, 0.0,  0.6,  0.6,  0.6,  0.8,  2822,  1819,  48.0, 
se427, 4.9219, 4.9219, 4.4495, 4.8535, 4.8534, 3.0212, -2.3501, 2.3514, -0.0005,  0.6,  0.6,  0.6,  1.0,  2862,  1811,  50.0, 
se428, 4.8275, 4.8275, 4.3332, 4.6278, 4.6278, 2.779, -2.3632, 2.3633, 0.0001,  0.6,  0.6,  0.6,  1.2,  2862,  1759,  47.0, 
se429, 4.74, 4.74, 4.2203, 4.4204, 4.4204, 2.5759, -2.371, 2.3711, -0.0,  0.6,  0.6,  0.6,  1.4,  2886,  1743,  48.0, 
se430, 4.6593, 4.6593, 4.1118, 4.2341, 4.2341, 2.4035, -2.3771, 2.3771, 0.0008,  0.6,  0.6,  0.6,  1.6,  2766,  1667,  45.0, 
se431, 4.5882, 4.5882, 4.0106, 4.0661, 4.0661, 2.2693, -2.3743, 2.3743, -0.001,  0.6,  0.6,  0.6,  1.8,  2710,  1611,  46.0, 
se432, 5.1141, 5.1141, 4.6985, 5.1048, 5.1048, 3.9437, -1.8936, 1.8939, -0.0007,  0.6,  0.6,  0.8,  0.2,  2766,  1879,  47.0, 
se433, 5.0181, 5.0181, 4.603, 4.8886, 4.8886, 3.588, -1.9256, 1.9298, 0.0002,  0.6,  0.6,  0.8,  0.4,  2838,  1875,  49.0, 
se434, 4.9173, 4.9173, 4.4935, 4.6609, 4.6609, 3.2541, -1.9683, 1.9677, 0.0002,  0.6,  0.6,  0.8,  0.6,  2974,  1871,  52.0, 
se435, 4.8175, 4.8175, 4.3793, 4.4374, 4.4374, 2.9596, -1.9998, 2.0005, 0.0101,  0.6,  0.6,  0.8,  0.8,  3014,  1835,  52.0, 
se436, 4.7226, 4.7226, 4.2657, 4.2273, 4.2273, 2.7076, -2.0232, 2.023, -0.0001,  0.6,  0.6,  0.8,  1.0,  3126,  1859,  58.0, 
se437, 4.6319, 4.6319, 4.1524, 4.0312, 4.0312, 2.4883, -2.0481, 2.0431, 0.0011,  0.6,  0.6,  0.8,  1.2,  3022,  1775,  52.0, 
se438, 4.5484, 4.5484, 4.0436, 3.8525, 3.8525, 2.3062, -2.0551, 2.055, -0.0035,  0.6,  0.6,  0.8,  1.4,  3062,  1751,  56.0, 
se439, 4.4711, 4.4711, 3.9385, 3.6911, 3.6911, 2.1505, -2.0654, 2.0654, 0.0011,  0.6,  0.6,  0.8,  1.6,  2894,  1667,  48.0, 
se440, 4.4057, 4.4057, 3.8423, 3.5528, 3.5529, 2.0337, -2.0721, 2.0733, -0.0,  0.6,  0.6,  0.8,  1.8,  2814,  1607,  46.0, 
se441, 4.8973, 4.8973, 4.5086, 4.4424, 4.4424, 3.5217, -1.5816, 1.5824, -0.0,  0.6,  0.6,  1.0,  0.2,  2750,  1799,  42.0, 
se442, 4.8061, 4.8061, 4.416, 4.2556, 4.2557, 3.2027, -1.6234, 1.6236, -0.0004,  0.6,  0.6,  1.0,  0.4,  2894,  1819,  47.0, 
se443, 4.7091, 4.7091, 4.3089, 4.0553, 4.0553, 2.9018, -1.6656, 1.6656, -0.001,  0.6,  0.6,  1.0,  0.6,  2934,  1791,  50.0, 
se444, 4.6144, 4.6144, 4.1982, 3.8626, 3.8626, 2.6386, -1.7034, 1.7033, -0.0088,  0.6,  0.6,  1.0,  0.8,  2958,  1763,  47.0, 
se445, 4.5242, 4.5242, 4.0879, 3.6824, 3.6824, 2.4122, -1.7343, 1.7344, -0.007,  0.6,  0.6,  1.0,  1.0,  3102,  1795,  53.0, 
se446, 4.4383, 4.4383, 3.9785, 3.5143, 3.5143, 2.2166, -1.7568, 1.7598, 0.0015,  0.6,  0.6,  1.0,  1.2,  3062,  1743,  49.0, 
se447, 4.3588, 4.3588, 3.8728, 3.3618, 3.3618, 2.0519, -1.7801, 1.78, 0.0002,  0.6,  0.6,  1.0,  1.4,  2974,  1695,  47.0, 
se448, 4.2868, 4.2868, 3.7722, 3.2257, 3.2257, 1.9158, -1.7962, 1.796, -0.0,  0.6,  0.6,  1.0,  1.6,  2910,  1643,  50.0, 
se449, 4.222, 4.222, 3.6778, 3.1007, 3.1007, 1.8075, -1.8015, 1.8014, 0.0003,  0.6,  0.6,  1.0,  1.8,  2830,  1579,  46.0, 
se450, 4.6877, 4.6878, 4.3298, 3.8805, 3.8805, 3.1369, -1.3162, 1.3162, 0.0006,  0.6,  0.6,  1.2,  0.2,  2558,  1663,  36.0, 
se451, 4.5992, 4.5992, 4.2387, 3.7135, 3.7135, 2.849, -1.3588, 1.3585, -0.0025,  0.6,  0.6,  1.2,  0.4,  2638,  1659,  41.0, 
se452, 4.507, 4.507, 4.1351, 3.5386, 3.5386, 2.5823, -1.4025, 1.4026, -0.0,  0.6,  0.6,  1.2,  0.6,  2774,  1687,  44.0, 
se453, 4.4163, 4.4163, 4.027, 3.3696, 3.3696, 2.346, -1.444, 1.4434, -0.0,  0.6,  0.6,  1.2,  0.8,  2838,  1675,  43.0, 
se454, 4.3295, 4.3295, 3.9192, 3.2115, 3.2115, 2.1426, -1.4782, 1.478, -0.0007,  0.6,  0.6,  1.2,  1.0,  2878,  1675,  45.0, 
se455, 4.2493, 4.2493, 3.8135, 3.0703, 3.0703, 1.9681, -1.5124, 1.5122, -0.0,  0.6,  0.6,  1.2,  1.2,  3038,  1695,  51.0, 
se456, 4.1745, 4.1745, 3.7113, 2.9406, 2.9406, 1.8214, -1.5388, 1.5388, 0.0001,  0.6,  0.6,  1.2,  1.4,  3046,  1671,  52.0, 
se457, 4.1067, 4.1067, 3.6138, 2.8245, 2.8245, 1.7002, -1.5603, 1.56, 0.0003,  0.6,  0.6,  1.2,  1.6,  2950,  1611,  51.0, 
se458, 4.0456, 4.0455, 3.5224, 2.7193, 2.7193, 1.6024, -1.5732, 1.5733, -0.0001,  0.6,  0.6,  1.2,  1.8,  2846,  1555,  47.0, 
se459, 4.4825, 4.4828, 4.1626, 3.3956, 3.3957, 2.7863, -1.0787, 1.0786, 0.0001,  0.6,  0.6,  1.4,  0.2,  2366,  1539,  33.0, 
se460, 4.399, 4.399, 4.0747, 3.2494, 3.2494, 2.5333, -1.122, 1.1221, 0.0003,  0.6,  0.6,  1.4,  0.4,  2462,  1547,  35.0, 
se461, 4.3109, 4.3109, 3.9737, 3.0952, 3.0952, 2.2955, -1.1679, 1.1683, -0.0034,  0.6,  0.6,  1.4,  0.6,  2574,  1567,  38.0, 
se462, 4.2243, 4.2243, 3.8682, 2.9467, 2.9467, 2.0844, -1.2124, 1.2126, -0.0001,  0.6,  0.6,  1.4,  0.8,  2694,  1579,  39.0, 
se463, 4.1417, 4.1417, 3.7634, 2.8087, 2.8087, 1.9026, -1.2497, 1.2498, -0.0001,  0.6,  0.6,  1.4,  1.0,  2822,  1611,  46.0, 
se464, 4.0628, 4.0628, 3.6593, 2.6786, 2.6786, 1.7457, -1.2805, 1.2803, -0.0002,  0.6,  0.6,  1.4,  1.2,  2910,  1615,  52.0, 
se465, 3.9921, 3.9921, 3.5592, 2.5679, 2.5679, 1.6133, -1.314, 1.3157, -0.0013,  0.6,  0.6,  1.4,  1.4,  2902,  1591,  47.0, 
se466, 3.928, 3.928, 3.465, 2.4675, 2.4675, 1.5064, -1.3375, 1.3372, -0.0019,  0.6,  0.6,  1.4,  1.6,  2926,  1563,  49.0, 
se467, 3.8699, 3.8699, 3.3757, 2.3774, 2.3774, 1.418, -1.3542, 1.3558, 0.0008,  0.6,  0.6,  1.4,  1.8,  2830,  1515,  48.0, 
se468, 4.2915, 4.2914, 4.0137, 2.9972, 2.9971, 2.4852, -0.8756, 0.8759, -0.0003,  0.6,  0.6,  1.6,  0.2,  2350,  1483,  30.0, 
se469, 4.2115, 4.2115, 3.9268, 2.8673, 2.8673, 2.257, -0.9237, 0.924, -0.0003,  0.6,  0.6,  1.6,  0.4,  2462,  1499,  32.0, 
se470, 4.1284, 4.1284, 3.8291, 2.7329, 2.7329, 2.0461, -0.9739, 0.9726, -0.0005,  0.6,  0.6,  1.6,  0.6,  2582,  1527,  38.0, 
se471, 4.0451, 4.0451, 3.7238, 2.6003, 2.6003, 1.8537, -1.0233, 1.0236, 0.0012,  0.6,  0.6,  1.6,  0.8,  2694,  1531,  42.0, 
se472, 3.9668, 3.9668, 3.6214, 2.48, 2.48, 1.691, -1.0655, 1.0651, -0.0001,  0.6,  0.6,  1.6,  1.0,  2822,  1563,  45.0, 
se473, 3.8928, 3.8928, 3.5189, 2.3696, 2.3696, 1.5491, -1.1063, 1.1075, 0.0001,  0.6,  0.6,  1.6,  1.2,  2838,  1559,  49.0, 
se474, 3.8243, 3.8243, 3.4203, 2.2693, 2.2692, 1.4307, -1.1384, 1.1384, 0.0001,  0.6,  0.6,  1.6,  1.4,  2806,  1523,  43.0, 
se475, 3.7637, 3.7637, 3.3285, 2.1824, 2.1824, 1.335, -1.1656, 1.1654, 0.0002,  0.6,  0.6,  1.6,  1.6,  2854,  1523,  45.0, 
se476, 3.708, 3.708, 3.2406, 2.1035, 2.1035, 1.2544, -1.1873, 1.1868, 0.0001,  0.6,  0.6,  1.6,  1.8,  2750,  1459,  46.0, 
se477, 4.1073, 4.1073, 3.875, 2.6582, 2.658, 2.2135, -0.7034, 0.7025, 0.0003,  0.6,  0.6,  1.8,  0.2,  2262,  1419,  28.0, 
se478, 4.0317, 4.0317, 3.791, 2.5431, 2.543, 2.0106, -0.7518, 0.752, -0.0,  0.6,  0.6,  1.8,  0.4,  2406,  1435,  34.0, 
se479, 3.9525, 3.9526, 3.6954, 2.4236, 2.4235, 1.8219, -0.8037, 0.8038, 0.0001,  0.6,  0.6,  1.8,  0.6,  2526,  1463,  33.0, 
se480, 3.8721, 3.8723, 3.5933, 2.3028, 2.3025, 1.6519, -0.8489, 0.849, 0.0001,  0.6,  0.6,  1.8,  0.8,  2590,  1475,  37.0, 
