se-name,  Kxx,  Kyy,  Kzz,  Omegaxx,  Omegayy,  Omegazz,  PIxx,  PIyy,  PIzz,  lam1,  lam2,  e1,  e2,  nelems,  nnodes,  time, 
se989, 14.9552, 16.9942, 18.779, 124.7935, 253.3145, 274.2367, 72.3683, -210.8942, 153.0426,  5.0,  3.0,  0.4,  1.8,  2846,  1875,  51.0, 
se990, 18.5203, 20.1006, 23.8984, 255.5801, 493.7236, 508.2284, 198.1557, -447.0908, 207.1754,  5.0,  3.0,  0.6,  0.2,  3638,  2687,  104.0, 
se991, 18.0601, 19.6478, 23.3378, 236.8427, 458.3336, 462.9544, 181.1203, -412.8299, 195.3567,  5.0,  3.0,  0.6,  0.4,  4174,  2923,  143.0, 
se992, 17.5401, 19.1464, 22.6632, 216.0409, 419.5759, 419.384, 162.3303, -375.5085, 183.5261,  5.0,  3.0,  0.6,  0.6,  4142,  2839,  146.0, 
se993, 16.9998, 18.6337, 21.9368, 195.3784, 381.5283, 379.949, 143.7704, -339.2886, 172.628,  5.0,  3.0,  0.6,  0.8,  4054,  2695,  127.0, 
se994, 16.46, 18.1373, 21.199, 175.8284, 346.4463, 345.7514, 126.2165, -305.7762, 163.6615,  5.0,  3.0,  0.6,  1.0,  3798,  2519,  103.0, 
se995, 15.9264, 17.6538, 20.452, 157.7552, 313.6219, 315.829, 110.1038, -274.7256, 155.4998,  5.0,  3.0,  0.6,  1.2,  3486,  2271,  83.0, 
se996, 15.4101, 17.2033, 19.7223, 141.2636, 284.4593, 290.7655, 95.5223, -247.3973, 149.2877,  5.0,  3.0,  0.6,  1.4,  3190,  2043,  70.0, 
se997, 14.9251, 16.7945, 19.0232, 126.6699, 258.8172, 270.2471, 82.636, -223.3072, 144.5756,  5.0,  3.0,  0.6,  1.6,  3078,  1939,  62.0, 
se998, 14.4684, 16.4062, 18.3445, 113.7465, 235.5256, 252.4668, 71.323, -201.5985, 139.9844,  5.0,  3.0,  0.6,  1.8,  2966,  1827,  61.0, 
se999, 17.9647, 19.5146, 23.5175, 239.2144, 472.0899, 475.7341, 193.5646, -436.5979, 195.7029,  5.0,  3.0,  0.8,  0.2,  3790,  2675,  116.0, 
se1000, 17.5255, 19.077, 22.9729, 222.0201, 437.9117, 433.5607, 177.7821, -402.9966, 183.8777,  5.0,  3.0,  0.8,  0.4,  4166,  2815,  146.0, 
se1001, 17.0085, 18.5763, 22.2889, 201.5918, 400.1353, 392.2486, 159.0807, -366.2278, 172.6332,  5.0,  3.0,  0.8,  0.6,  4126,  2739,  134.0, 
se1002, 16.4858, 18.0776, 21.5768, 182.2683, 363.7346, 355.4681, 141.2707, -331.0363, 162.1695,  5.0,  3.0,  0.8,  0.8,  3838,  2519,  109.0, 
