se-name,  Kxx,  Kyy,  Kzz,  Omegaxx,  Omegayy,  Omegazz,  PIxx,  PIyy,  PIzz,  lam1,  lam2,  e1,  e2,  nelems,  nnodes,  time, 
se1215, 14.758, 19.2499, 19.2474, 70.3616, 466.0788, 466.6342, 0.0639, -422.8721, 422.7884,  6.0,  1.0,  0.2,  0.2,  3102,  2419,  80.0, 
se1216, 14.4511, 18.9824, 18.8906, 66.9623, 440.0786, 442.9755, -1.7905, -397.928, 406.3215,  6.0,  1.0,  0.2,  0.4,  3390,  2559,  102.0, 
se1217, 14.1196, 18.7178, 18.4851, 63.1718, 413.4554, 421.8966, -3.8525, -372.536, 391.6776,  6.0,  1.0,  0.2,  0.6,  3238,  2427,  86.0, 
se1218, 13.7829, 18.4655, 18.0596, 59.3104, 387.9804, 403.8173, -5.9982, -348.4273, 378.9653,  6.0,  1.0,  0.2,  0.8,  3078,  2307,  76.0, 
se1219, 13.4505, 18.2355, 17.6313, 55.5627, 364.4653, 389.0085, -8.0443, -326.5588, 368.5595,  6.0,  1.0,  0.2,  1.0,  3190,  2315,  81.0, 
se1220, 13.1219, 18.0152, 17.1991, 51.977, 342.1746, 375.9701, -9.8722, -306.1246, 359.0085,  6.0,  1.0,  0.2,  1.2,  2878,  2127,  66.0, 
se1221, 12.8196, 17.8251, 16.7948, 48.7116, 323.4315, 365.8702, -11.5767, -288.8662, 351.713,  6.0,  1.0,  0.2,  1.4,  2822,  2075,  68.0, 
se1222, 12.5506, 17.6888, 16.4332, 45.7986, 308.9953, 360.428, -13.191, -275.5086, 348.2717,  6.0,  1.0,  0.2,  1.6,  2750,  2019,  65.0, 
se1223, 12.2851, 17.5206, 16.063, 43.0361, 294.3219, 352.7003, -14.5142, -262.5517, 342.7432,  6.0,  1.0,  0.2,  1.8,  2542,  1859,  55.0, 
se1224, 14.3352, 18.7421, 18.8333, 62.8702, 440.2183, 437.6976, 1.7628, -405.4192, 396.7395,  6.0,  1.0,  0.4,  0.2,  3126,  2403,  81.0, 
se1225, 14.0337, 18.4704, 18.4726, 59.5391, 415.2181, 415.1323, 0.1098, -381.1428, 380.8939,  6.0,  1.0,  0.4,  0.4,  3366,  2511,  93.0, 
se1226, 13.7062, 18.1991, 18.0615, 55.9092, 389.3618, 394.81, -1.9681, -356.2651, 366.4995,  6.0,  1.0,  0.4,  0.6,  3246,  2395,  85.0, 
se1227, 13.3714, 17.9362, 17.6276, 52.2792, 364.2324, 376.9003, -3.9792, -332.2652, 353.5506,  6.0,  1.0,  0.4,  0.8,  3166,  2275,  78.0, 
se1228, 13.0466, 17.7051, 17.2007, 48.8211, 341.8797, 362.795, -5.9335, -311.0814, 343.5134,  6.0,  1.0,  0.4,  1.0,  3222,  2275,  82.0, 
se1229, 12.7332, 17.4986, 16.7807, 45.6141, 321.5105, 351.3579, -7.7533, -291.9072, 335.4341,  6.0,  1.0,  0.4,  1.2,  2950,  2087,  69.0, 
se1230, 12.4388, 17.3129, 16.3791, 42.6967, 303.6095, 341.916, -9.4122, -275.1554, 328.6661,  6.0,  1.0,  0.4,  1.4,  2950,  2059,  73.0, 
se1231, 12.1651, 17.1577, 16.0032, 40.0354, 288.4389, 335.1017, -10.886, -261.1024, 323.9858,  6.0,  1.0,  0.4,  1.6,  3022,  2071,  76.0, 
se1232, 11.9163, 17.01, 15.6461, 37.7336, 275.0521, 328.6475, -12.2699, -248.7772, 319.2459,  6.0,  1.0,  0.4,  1.8,  2670,  1851,  63.0, 
se1233, 13.8613, 18.175, 18.404, 55.3422, 416.2314, 407.9627, 3.611, -389.1182, 370.2431,  6.0,  1.0,  0.6,  0.2,  3094,  2267,  77.0, 
se1234, 13.5712, 17.9049, 18.0449, 52.325, 392.0861, 386.4391, 1.9345, -365.325, 354.8507,  6.0,  1.0,  0.6,  0.4,  3342,  2367,  93.0, 
se1235, 13.2555, 17.6353, 17.6374, 49.0303, 367.2668, 367.147, 0.0042, -341.1467, 340.9361,  6.0,  1.0,  0.6,  0.6,  3254,  2291,  84.0, 
se1236, 12.9326, 17.3769, 17.2075, 45.7626, 343.2224, 350.285, -1.9342, -317.7922, 328.6159,  6.0,  1.0,  0.6,  0.8,  3142,  2195,  75.0, 
se1237, 12.6162, 17.1431, 16.7799, 42.647, 321.4105, 336.4815, -3.787, -296.7531, 318.5533,  6.0,  1.0,  0.6,  1.0,  3262,  2207,  80.0, 
se1238, 12.3088, 16.9352, 16.3595, 39.7345, 301.7604, 325.4649, -5.544, -278.002, 310.6012,  6.0,  1.0,  0.6,  1.2,  2998,  2027,  70.0, 
se1239, 12.0208, 16.7549, 15.9603, 37.0753, 284.811, 316.9324, -7.136, -261.8527, 304.6241,  6.0,  1.0,  0.6,  1.4,  3014,  2007,  75.0, 
se1240, 11.7535, 16.5995, 15.5819, 34.7281, 269.9739, 310.1304, -8.6065, -247.8519, 299.8303,  6.0,  1.0,  0.6,  1.6,  2926,  1947,  72.0, 
se1241, 11.4993, 16.4336, 15.212, 32.5941, 256.2181, 302.572, -9.8824, -234.8111, 293.8616,  6.0,  1.0,  0.6,  1.8,  2710,  1799,  62.0, 
se1242, 13.4125, 17.6356, 18.0338, 49.3716, 396.2078, 380.2172, 5.3569, -374.9438, 345.0351,  6.0,  1.0,  0.8,  0.2,  3302,  2327,  89.0, 
